District_Name,SCHOOL,Gender,2011,2012,2013,2014,2015
MITYANA,WAMALA HIGH SCHOOL,FEMALE,4,6,14,1,12
MITYANA,,MALE,12,5,26,9,7
NWOYA,"ALERO SECONDARY SCHOOL,NWOYA",FEMALE,,,,1,1
NWOYA,,MALE,,,,13,17
NWOYA,KOCH GOMA SECONDARY SCHOOL,FEMALE,12,13,10,3,2
NWOYA,,MALE,37,29,46,14,12
NWOYA,"POPE PAUL VI SECONDARY SCHOOL,ANAKA",FEMALE,13,12,14,6,5
NWOYA,,MALE,43,33,98,35,30
NAKASEKE,"KALOKE CHRISTIAN HIGH SCHOOL,LUWEERO",FEMALE,,,18,4,7
NAKASEKE,,MALE,,,10,12,11
NAKASEKE,KAPEEKA SECONDARY SCHOOL,FEMALE,,,2,5,7
NAKASEKE,,MALE,,,42,12,9
NAKASEKE,KASANGOMBE SECONDARY SCHOOL,FEMALE,,,20,8,6
NAKASEKE,,MALE,,,20,7,6
NAKASEKE,KIJAGUZO SECONDARY SCHOOL,FEMALE,15,28,82,46,35
NAKASEKE,,MALE,32,44,96,62,47
NAKASEKE,KIWOKO SECONDARY SCHOOL,FEMALE,25,12,52,8,4
NAKASEKE,,MALE,37,53,64,27,13
NAKASEKE,"MAZZOLDI COLLEGE,NAKASEKE",FEMALE,12,8,18,13,9
NAKASEKE,,MALE,9,8,44,16,18
NAKASEKE,MULAMA SECONDARY SCHOOL,FEMALE,41,45,20,13,21
NAKASEKE,,MALE,36,23,42,13,18
NAKASEKE,MUL-SSA HIGH SCHOOL,FEMALE,20,16,54,15,18
NAKASEKE,,MALE,21,26,68,20,16
NAKASEKE,NAKASEKE INTERNATIONAL COLLEGE,FEMALE,68,80,110,63,70
NAKASEKE,,MALE,110,124,176,97,89
NAKASEKE,NAKASEKE SECONDARY SCHOOL,FEMALE,21,30,16,11,10
NAKASEKE,,MALE,31,12,22,11,13
NAKASEKE,TIMUNA SECONDARY SCHOOL,FEMALE,10,10,32,10,6
NAKASEKE,,MALE,9,18,40,17,12
BUIKWE,"3R'S SECONDARY SCHOOL,LUGAZI",FEMALE,16,20,22,13,7
BUIKWE,,MALE,39,34,30,22,14
BUIKWE,"ALLIED TEACHERS' SS,NYENGA",FEMALE,33,21,54,14,7
BUIKWE,,MALE,68,22,82,18,18
BUIKWE,"ARMORET HIGH SCHOOL,JINJA",FEMALE,4,,,,
BUIKWE,,MALE,24,,,,
BUIKWE,"BISHOP NKOYOYO SECONDARY SCHOOL,MATALE",FEMALE,37,22,48,36,26
BUIKWE,,MALE,39,34,54,19,16
BUIKWE,BUIKWE SECONDARY SCHOOL,FEMALE,,,,,8
BUIKWE,,MALE,,,,,22
BUIKWE,"CARDINAL NSUBUGA SECONDARY SCHOOL,NYENGA",FEMALE,11,15,30,8,30
BUIKWE,,MALE,16,19,60,11,22
BUIKWE,"EQUATOR COLLEGE,LUGAZI",FEMALE,15,13,24,7,22
BUIKWE,,MALE,31,42,72,43,33
BUIKWE,"GETWISE SECONDARY SCHOOL,LUGAZI",FEMALE,,3,94,6,8
BUIKWE,,MALE,,7,114,6,5
BUIKWE,"HANDS OF GRACE SECONDARY SCHOOL,LUGAZI",FEMALE,6,8,10,13,5
BUIKWE,,MALE,13,12,24,28,18
BUIKWE,"HOPE CHRISTIAN HIGH SCHOOL,LUGAZI",FEMALE,,,,21,26
BUIKWE,,MALE,,,,29,29
BUIKWE,LIAHONA HIGH SCHOOL,FEMALE,,7,46,9,24
BUIKWE,,MALE,,13,60,21,35
BUIKWE,"LORDS MEADE VOCATIONAL COLLEGE,NJERU",FEMALE,44,38,58,22,14
BUIKWE,,MALE,70,57,84,38,21
BUIKWE,LUGAZI HIGH SCHOOL,FEMALE,,18,8,18,
BUIKWE,,MALE,,24,26,19,
BUIKWE,LUGAZI HOMELAND COLLEGE,FEMALE,,,56,27,59
BUIKWE,,MALE,,,34,34,34
BUIKWE,LUGAZI HOMESTONE SCHOOL,FEMALE,,65,110,82,61
BUIKWE,,MALE,,125,190,107,107
BUIKWE,LUGAZI MIXED SCHOOL NAALYA,FEMALE,123,169,396,201,171
BUIKWE,,MALE,160,239,504,202,236
BUIKWE,LUGAZI PARENTS INTERNATIONAL SCHOOL,FEMALE,32,21,20,3,
BUIKWE,,MALE,38,19,16,7,
BUIKWE,LUGAZI PROGRESSIVE COLLEGE,FEMALE,37,38,74,40,18
BUIKWE,,MALE,78,51,134,48,20
BUIKWE,LUGAZI PROGRESSIVE SECONDARY SCHOOL,FEMALE,25,18,42,14,21
BUIKWE,,MALE,23,23,42,31,41
BUIKWE,LWERU SECONDARY SCHOOL,FEMALE,20,33,72,18,9
BUIKWE,,MALE,35,47,96,28,31
BUIKWE,MARIA THEREZA LEDOCHOWSKA COLLEGE,FEMALE,4,,,5,18
BUIKWE,,MALE,9,,,5,23
BUIKWE,MEHTA SECONDARY SCHOOL,FEMALE,25,44,52,26,31
BUIKWE,,MALE,59,34,86,49,40
BUIKWE,"NAJJA MARY'S HIGH SCHOOL,KYAGGWE",FEMALE,11,,8,,
BUIKWE,,MALE,21,,12,,
BUIKWE,"NAJJEMBE HOMELAND SS,LUGAZI",FEMALE,103,47,52,24,14
BUIKWE,,MALE,113,53,68,14,25
BUIKWE,"NAMINYA HIGH SCHOOL,JINJA",FEMALE,14,26,26,,6
BUIKWE,,MALE,20,31,32,,4
BUIKWE,NAMWEZI SECONDARY SCHOOL,FEMALE,27,40,106,37,18
BUIKWE,,MALE,23,63,142,69,36
BUIKWE,NGOGWE BASKERVILLE SECONDARY SCHOOL,FEMALE,2,13,40,12,5
BUIKWE,,MALE,12,28,72,25,22
BUIKWE,"NJERU SECONDARY SCHOOL,JINJA",FEMALE,34,26,50,12,13
BUIKWE,,MALE,47,39,86,42,46
BUIKWE,"NOAH'S ARK SECONDARY SCHOOL,LUGAZI",FEMALE,55,61,138,45,20
BUIKWE,,MALE,62,67,130,62,39
BUIKWE,NYENGA SECONDARY SCHOOL,FEMALE,6,1,24,28,26
BUIKWE,,MALE,8,9,56,57,62
BUIKWE,"REHABOTH INTERGRATED HIGH SCHOOL,NJERU",FEMALE,,,,9,12
BUIKWE,,MALE,,,,12,6
BUIKWE,RISAH STANDARD HIGH SCHOOL,FEMALE,,,,48,24
BUIKWE,,MALE,,,,67,32
BUIKWE,"SACRED HEART NAJJA SS,BUIKWE",FEMALE,,,,6,4
BUIKWE,,MALE,,,,9,11
BUIKWE,ST.ELIZA SECONDARY SCHOOL,FEMALE,,,,,7
BUIKWE,,MALE,,,,,10
BUIKWE,"ST.JOSEPH'S SEMINARY,NYENGA",MALE,32,22,70,11,24
BUIKWE,"ST.MARY'S COLLEGE,LUGAZI",FEMALE,112,106,296,88,108
BUIKWE,,MALE,146,144,326,161,138
BUIKWE,"ST.NOA MAWAGALI SECONDARY SCHOOL,JINJA",FEMALE,45,30,104,40,37
BUIKWE,,MALE,65,53,102,34,62
BUIKWE,ST.PETER'S NKOKONJERU SECONDARY SCHOOL,FEMALE,9,18,60,27,15
BUIKWE,,MALE,17,40,72,33,40
BUIKWE,"STELLA MARIS COLLEGE,NSUBE",FEMALE,46,68,90,38,46
BUIKWE,"VICTORIA SECONDARY SCHOOL,SSI-BUKUNJA",FEMALE,,,,7,11
BUIKWE,,MALE,,,,15,11
JINJA,BUGEMBE ISLAMIC INSTITUTE,FEMALE,12,4,20,12,7
JINJA,,MALE,32,25,38,34,12
JINJA,"BUSEDE COLLEGE,BUGAYA",FEMALE,,,8,2,3
JINJA,,MALE,,,22,17,12
JINJA,"BUSOGA COLLEGE,MWIRI",MALE,123,105,260,70,102
JINJA,BUWENGE COLLEGE,FEMALE,1,4,4,2,
JINJA,,MALE,10,6,32,9,
JINJA,BUWENGE MODERN SECONDARY SCHOOL,FEMALE,,,18,9,9
JINJA,,MALE,,,56,19,21
